dbprimary_acc	display_label	description
IPR004538	Haemolysin_A/TlyA	Haemolysin A /rRNA methyltransferase TlyA
IPR004541	Transl_elong_EFTu/EF1A_bac/org	Translation elongation factor EFTu/EF1A, bacterial/organelle
IPR004544	TIF_aIF-2_arc	Translation initiation factor aIF-2, archaea
IPR004546	Restrct_endonuc_typeI_HsdM	Restriction endonuclease, type I, HsdM
IPR004548	PrfC	Peptide chain release factor 3
IPR004549	Acetyl_CoA_COase_biotin_COase	Acetyl-CoA carboxylase, biotin carboxylase
IPR004550	AsnASE_II	L-asparaginase, type II
IPR004552	AGP_acyltrans	1-acyl-sn-glycerol-3-phosphate acyltransferase
IPR004554	HMG_CoA_Rdtase_eu_arc	Hydroxymethylglutaryl-CoA reductase, eukaryotic/archaeal type
IPR004557	PrmC-related	Eukaryotic/archaeal PrmC-related
IPR004558	Coprogen_oxidase_HemN	Oxygen-independent coproporphyrinogen III oxidase HemN
IPR004560	L-Ru-5P_3-Epase	L-ribulose-5-phosphate 3-epimerase
IPR004561	IsoChor_synthase	Isochorismate synthase
IPR004563	Apolipo_AcylTrfase	Apolipoprotein N-acyltransferase
IPR004564	OM_lipoprot_carrier_LolA-like	Outer membrane lipoprotein carrier protein LolA-like
IPR004565	OM_lipoprot_LolB	Outer membrane lipoprotein LolB
IPR004566	PanK	Pantothenate kinase
IPR004569	PyrdxlP_synth_PdxJ	Pyridoxal phosphate (active vitamin B6) biosynthesis PdxJ
IPR004570	Phosphatidylglycerol_P_synth	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
IPR004573	rRNA_ssu_MeTfrase_B	rRNA small subunit methyltransferase B
IPR004575	MAT1/Tfb3	Cdk-activating kinase assembly factor MAT1/Tfb3
IPR004576	Mfd	Transcription-repair coupling factor
IPR004577	Ogg1	8-oxoguanine DNA-glycosylase
IPR004580	Rad18_fungi	DNA repair protein Rad18, fungi
IPR004584	Rad50_eukaryotes	DNA repair protein Rad50, eukaryotes
IPR004585	DNA_recomb/repair_Rad52	DNA recombination/repair protein Rad52
IPR004586	RecB	RecBCD enzyme subunit RecB
IPR004588	IspG_bac-typ	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase, bacterial-type
IPR004590	ssDNA_annealing_RecT	DNA single-strand annealing protein RecT
IPR004591	Rfa1	Replication factor A protein 1
IPR004592	SbcC_gammaproteobac_type	Nuclease SbcC, gammaproteobacteria type
IPR004593	SbcD	Nuclease SbcCD subunit D
IPR004596	Cell_div_suppressor_SulA	Cell division suppressor protein, SulA
IPR004597	Tag	DNA-3-methyladenine glycosylase I
IPR004602	UvrA	UvrABC system subunit A
IPR004604	DNA_recomb/repair_RecN	DNA recombination/repair protein RecN
IPR004605	DNA_helicase_Holl-junc_RuvB	DNA helicase, Holliday junction RuvB-type
IPR004606	Mop_domain	Molybdenum-pterin binding domain
IPR004607	GART	Phosphoribosylglycinamide formyltransferase
IPR004609	ATP-dep_DNA_helicase_RecG	ATP-dependent DNA helicase RecG
IPR004610	RecJ	Bacterial RecJ exonuclease
IPR004612	Resolv_RecU	Holliday junction resolvase RecU
IPR004613	RNase_J	Ribonuclease J
IPR004614	P_AcTrfase	Phosphate acetyltransferase
IPR004615	DNA_pol_III_psi	DNA polymerase III, psi subunit
IPR004616	Leu/Phe-tRNA_Trfase	Leucyl/phenylalanyl-tRNA-protein transferase
IPR004617	ApaH	Bis(5'-nucleosyl)-tetraphosphatase (symmetrical)
IPR004618	AsnA	Aspartate--ammonia ligase
IPR004619	Type_III_PanK	Type III pantothenate kinase
IPR004620	MTHF_reductase_bac	5,10-methylenetetrahydrofolate reductase
IPR004621	Fadh2_euk	Eukaryotic-type methylenetetrahydrofolate reductase
IPR004623	KdpA	Potassium-transporting ATPase A chain
IPR004624	YjdM	Protein YjdM
IPR004625	PyrdxlKinase	Pyridoxine kinase
IPR004626	RarD	RarD protein
IPR004627	L-Threonine_3-DHase	L-threonine 3-dehydrogenase
IPR004628	Man_deHydtase	Mannonate dehydratase
IPR004629	WecG_TagA_CpsF	Glycosyl transferase WecG/TagA/CpsF
IPR004631	4NH2But_aminotransferase_euk	4-aminobutyrate aminotransferase, eukaryotic
IPR004632	4NH2But_aminotransferase_bac	4-aminobutyrate aminotransferase, bacterial
IPR004633	NaPi_cotrn-rel/YqeW-like	Na/Pi-cotransporter II-related/YqeW-like protein
IPR004634	Pept_S49_pIV	Peptidase S49, protease IV
IPR004635	Pept_S49_SppA	Peptidase S49, SppA
IPR004636	AcOrn/SuccOrn_fam	Acetylornithine/Succinylornithine transaminase family
IPR004637	Dat	2,4-diaminobutyrate 4-transaminase
IPR004638	EmrB-like	Drug resistance transporter EmrB-like
IPR004639	4pyrrol_synth_GluAld_NH2Trfase	Tetrapyrrole biosynthesis, glutamate-1-semialdehyde aminotransferase
IPR004642	Ser_deHydtase_asu	Serine dehydratase, alpha subunit
IPR004644	Fe-S_L-Ser_mono	Iron-sulphur-dependent L-serine dehydratase single chain form
IPR004646	Fe-S_hydro-lyase_TtdA-typ_cat	Fe-S hydro-lyase, tartrate dehydratase alpha-type, catalytic domain
IPR004647	Fe-S_hydro-lyase_TtdB-typ_cat	Fe-S hydro-lyase, tartrate dehydratase beta-type, catalytic domain
IPR004648	Oligpept_transpt	Tetrapeptide transporter, OPT1/isp4
IPR004651	HisF	Histidine biosynthesis, HisF
IPR004652	tRNA_dU_NifR3	tRNA-dihydrouridine synthase, TIM-barrel, NifR3
IPR004654	ROK_glcA	Glucokinase ROK
IPR004655	FabH_synth	3-oxoacyl-[acyl-carrier-protein] synthase 3
IPR004657	MenA	1,4-dihydroxy-2-naphthoate octaprenyltransferase
IPR004659	RNase_E/G	Ribonuclease E/G
IPR004660	PDH_E1	Pyruvate dehydrogenase E1 component
IPR004662	AcgluKinase_fam	Acetylglutamate kinase family
IPR004665	Term_rho	Transcription termination factor Rho
IPR004666	RpS6_RimK/Lys_biosynth_LsyX	Ribosomal S6 modification enzyme RimK/Lysine biosynthesis enzyme LysX
IPR004667	ADP_ATP_car_bac_type	ADP/ATP carrier protein, bacterial type
IPR004668	Anaer_Dcu_memb_transpt	Anaerobic c4-dicarboxylate membrane transporter
IPR004669	C4_dicarb_anaerob_car	C4-dicarboxylate anaerobic carrier
IPR004670	NhaA	Na+/H+ antiporter NhaA
IPR004671	Na+/H+_antiporter_NhaB	Na+/H+ antiporter NhaB
IPR004673	L-rhamnose-proton_sym_RhaT	L-rhamnose-proton symport, RhaT
IPR004675	AhpD_core	Alkylhydroperoxidase AhpD core
IPR004676	Cd-R_transporter	Cadmium resistance transporter
IPR004677	Cyt_c_oxidase_cbb3_su1	Cytochrome c oxidase cbb3-type, subunit I
IPR004679	2-OHcarboxylate_transport	2-hydroxycarboxylate transporter
IPR004680	Cit_transptr-like_dom	Citrate transporter-like domain
IPR004681	TRAP_DctM	TRAP transporter large membrane protein DctM
IPR004682	TRAP_DctP	TRAP transporter solute receptor, DctP family
IPR004684	2keto-3dGluconate_permease	2-keto-3-deoxygluconate permease
IPR004685	Brnchd-chn_aa_trnsp_Livcs	Branched-chain amino acid transport system II carrier protein
IPR004687	LAPTM4/5	Lysosomal-associated transmembrane protein 4/5
IPR004688	Ni/Co_transpt	Transition metal uptake transporter nickel/cobalt
IPR004692	SecG	Preprotein translocase SecG subunit
IPR004693	Silicon_transpt	Silicon transporter
IPR004694	Hydroxy_aa_transpt	Hydroxy amino acid transporter
IPR004695	SLAC1/Mae1/Ssu1/TehA	Transporter protein SLAC1/Mae1/ Ssu1/TehA
IPR004696	Tpt_PEP_transl	Triose phosphate/phosphoenolpyruvate translocator
IPR004697	AbgT	p-Aminobenzoyl-glutamate transport protein AbgT
IPR004698	Zn/Fe_permease_fun/pln	Zinc/iron permease, fungal/plant
IPR004699	PTS_IID_sorb	Phosphotransferase system, enzyme II sorbitol-specific factor
IPR004700	PTS_IIC_man	Phosphotransferase system, mannose/fructose/sorbose family, IIC subunit
IPR004701	PTS_EIIA_man-typ	Phosphotransferase system, mannose-type IIA component
IPR004702	PTS_sorb_EIIBC	Phosphotransferease, sorbitol phosphotransferase enzyme II
IPR004703	PTS_sugar-sp_permease	Phosphotransferase system, sugar-specific permease component
IPR004704	PTS_IID_man	Phosphotransferase system, mannose/fructose/sorbose family IID component
IPR004705	Cation/H_exchanger_CPA1_bac	Cation/H+ exchanger, CPA1 family, bacteria
IPR004706	Arsenical-R_Acr3	Arsenical-resistance protein Acr3
IPR004708	ApsA	Aspartate ammonia-lyase
IPR004710	Bilac:Na_transpt	Bile acid:sodium symporter
IPR004711	Benzoate_Transporter	Benzoate transporter
IPR004712	Na+/H+_antiporter_fungi	Na+/H+ antiporter, fungi
IPR004713	CaH_exchang	Calcium/proton exchanger
IPR004715	PTS_IIA_fruc	Phosphotransferase system, IIA component fructose subfamily
IPR004716	PTS_IIA_glucitol/sorbitol-sp	Phosphotransferase system, glucitol/sorbitol-specific IIA component
IPR004718	PTS_IIC_mtl	Phosphotransferase system, mannitol-specific enzyme IIC
IPR004719	PTS_maltose/Glc_sub_IIC	Phosphotransferase system, maltose/glucose-specific subfamily IIC component
IPR004720	PTS_IIB_sorbose-sp	Phosphotransferase system, sorbose subfamily IIB component
IPR004721	DHOdimr	Dihydroorotase homodimeric type
IPR004722	DHOase	Dihydroorotase
IPR004726	Deg-1	Degenerin
IPR004731	Transaldolase_3B/F6P_aldolase	Transaldolase type 3B/Fructose-6-phosphate aldolase
IPR004732	Transaldolase_2	Transaldolase type 2
IPR004733	PurM_cligase	Phosphoribosylformylglycinamidine cyclo-ligase
IPR004734	Multidrug-R	Multidrug resistance protein
IPR004736	MHS_symport	MFS transporter, metabolite:H symporter
IPR004737	NO3_transporter	Nitrate transporter
IPR004738	Phos_permease	Phosphate permease
IPR004739	GMP_synth_GATase	GMP synthase, glutamine amidotransferase
IPR004740	Nuc_H_symport	Nucleoside:H+ symporter
IPR004741	Oxa_For_antiport_fam_transptr	Oxalate/formate antiporter family transporter
IPR004742	SA_transporter	Sialic acid transporter
IPR004745	Pi_cotranspt	Na-dependent inorganic phosphate cotransporter
IPR004746	MFS_AAHS	Major facilitator superfamily, aromatic acid:H+ symporter family
IPR004749	Orgcat_transp/SVOP	Organic cation transport protein/SVOP
IPR004750	Sugar_efflux	Sugar efflux
IPR004753	MreB	Cell shape determining protein MreB
IPR004754	Amino_acid_antiprt	Amino acid antiporter
IPR004755	Cat_AA_permease	Cationic amino acid transport permease
IPR004756	AA_permease	Amino acid permease subfamily
IPR004757	EtNH_permease	Ethanolamine permease
IPR004761	Spore_GerAB	Spore germination GerAB
IPR004762	Amino_acid_permease_fungi	Amino acid permease, fungi
IPR004763	CzcA/CusA/SilA/NccA/HelA/CnrA	Cation efflux system CzcA/CusA/SilA/NccA/HelA/CnrA
IPR004764	HAE1	Hydrophobe/amphiphile efflux-1 HAE1
IPR004765	NPC1-like	NPC1-like
IPR004766	TM_rcpt_patched	Transmembrane receptor, patched
IPR004768	Oligopep_transport	Oligopeptide transporter
IPR004770	Na/H_antiport_NhaC	Na+/H+ antiporter NhaC
IPR004771	K/H_exchanger	K+/H+ exchanger
IPR004772	TrkH	TrkH potassium transport family
IPR004773	K/Na_transp_Trk/HKT	Potassium/sodium  transporter Trk/HKT
IPR004778	Homoserine/Threonine_efflux	Homoserine/Threonine efflux protein
IPR004780	SRP	Signal recognition particle protein
IPR004785	RpiB	Ribose 5-phosphate isomerase B
IPR004786	6-phosphgluc_deHydtase	6-phosphogluconate dehydratase
IPR004788	Ribose5P_isomerase_type_A	Ribose 5-phosphate isomerase, type A
IPR004789	Acetalactate_synth_ssu	Acetolactate synthase, small subunit
IPR004791	UvrC	UvrABC system, subunit C
IPR004792	BaiN-like	3-Dehydro-bile acid delta(4,6)-reductase-like
IPR004794	Eubact_RibD	Riboflavin biosynthesis protein RibD
IPR004796	PTS_IIC_cello	Phosphotransferase system, cellobiose-type IIC component
IPR004797	Competence_ComEC/Rec2	Competence protein ComEC/Rec2
IPR004798	CAX	Calcium/proton exchanger CAX
IPR004799	Periplasmic_diS_OxRdtase_DsbE	Periplasmic protein thiol:disulphide oxidoreductase DsbE
IPR004800	KdsD/KpsF-type	Phosphosugar isomerase, KdsD/KpsF-type
IPR004805	PolC_alpha	DNA polymerase III, alpha subunit
IPR004807	UvrB	UvrABC system, subunit B
IPR004809	Gln_synth_I	Glutamine synthetase type I
IPR004810	PurU	Formyltetrahydrofolate deformylase
IPR004811	RelA/Spo_fam	RelA/SpoT family
IPR004812	Efflux_drug-R_Bcr/CmlA	Drug resistance transporter Bcr/CmlA subfamily
IPR004813	OPT	Oligopeptide transporter, OPT superfamily
IPR004814	Oligopep_transpt	Oligopeptide transporter OPT
IPR004816	HMG_CoA_Rdtase_metazoan	Hydroxymethylglutaryl-CoA reductase, metazoan
IPR004825	Insulin	Insulin
IPR004826	bZIP_Maf	Basic leucine zipper domain, Maf-type
IPR004828	Apidaecin	Apidaecin
IPR004836	Na_Ca_Ex	Sodium/calcium exchanger protein
IPR004840	Amoino_acid_permease_CS	Amino acid permease, conserved site
IPR004841	AA-permease/SLC12A_dom	Amino acid permease/ SLC12A domain
IPR004842	SLC12A_fam	SLC12A transporter family
IPR004845	T2SS_GspD_CS	Type II secretion system protein GspD, conserved site
IPR004846	T2SS/T3SS	Type II/III secretion system
IPR004850	NtA_dom	NtA (N-terminal agrin) domain
IPR004853	Sugar_P_trans_dom	Sugar phosphate transporter domain
IPR004855	TFIIA_asu/bsu	Transcription factor IIA, alpha/beta subunit
IPR004860	LAGLIDADG_2	Homing endonuclease, LAGLIDADG
IPR004861	Siw14-like	Atypical dual-specificity phosphatase Siw14-like
IPR004864	LEA_2	Late embryogenesis abundant protein, LEA_2 subgroup
IPR004865	HSR_dom	HSR domain
IPR004866	CHB/HEX_N_dom	Chitobiase/beta-hexosaminidases, N-terminal domain
IPR004867	CHB_C_dom	Chitobiase C-terminal domain
IPR004868	DNA-dir_DNA_pol_B_mt/vir	DNA-directed DNA polymerase, family B, mitochondria/virus
IPR004869	MMPL_dom	Membrane transport protein MMPL domain
IPR004872	Lipoprotein_NlpA	Lipoprotein NlpA family
IPR004873	BURP_dom	BURP domain
IPR004878	Otopetrin	Otopetrin
IPR004879	DUF255	Domain of unknown function DUF255
IPR004881	Ribosome_biogen_GTPase_RsgA	Ribosome biogenesis GTPase RsgA
IPR004883	LOB	Lateral organ boundaries, LOB
IPR004886	Glucanosyltransferase	Glucanosyltransferase
IPR004891	Mercury-R_MerC	Mercury transport protein MerC
IPR004895	Prenylated_rab_accept_PRA1	Prenylated rab acceptor PRA1
IPR004896	PucC-rel	PucC-related
IPR004898	Pectate_lyase_PlyH/PlyE-like	Pectate lyase PlyH/PlyE-like
IPR004901	RGP	Reversibly glycosylated polypeptide
IPR004902	Rhabdo_ncap_2	Rhabdovirus nucleoprotein
IPR004912	Adeno_VII	Adenoviral core protein VII
IPR004913	Herpes_gJ	Herpesvirus glycoprotein J
IPR004914	Antirestrict	Antirestriction protein
IPR004918	Cdc37	Cdc37
IPR004919	DUF262	Domain of unknown function DUF262
IPR004921	Terminase_lsu_T4like_N	Terminase large subunit, T4likevirus-type, N-terminal
IPR004922	ESAG	ESAG protein
IPR004923	FTR1/Fip1/EfeU	Iron permease FTR1/Fip1/EfeU
IPR004925	HpaB/PvcC/4-BUDH	HpaB/PvcC/4-BUDH
IPR004926	LEA_3	Late embryogenesis abundant protein, LEA_3 subgroup
IPR004927	MerB	Alkylmercury lyase
IPR004928	PSI_PsaH	Photosystem I PsaH, reaction centre subunit VI
IPR004929	I-spanin	Spanin, inner membrane subunit
IPR004931	Pro/parathymosin	Prothymosin/parathymosin
IPR004934	TMOD	Tropomodulin
IPR004937	Urea_transporter	Urea transporter
IPR004938	XG_FTase	Xyloglucan fucosyltransferase
IPR004941	Baculo_FP	Baculovirus FP protein
IPR004943	Lipoprotein_11	Lepidopteran low molecular weight lipoprotein
IPR004944	CDK5_activator	Cyclin-dependent kinase 5 activator
IPR004948	Nuc-triphosphatase_THEP1	Nucleoside-triphosphatase, THEP1 type
IPR004950	DUF267_CAE_spp	Protein of unknown function DUF267, Caenorhabditis species
IPR004951	DUF268_CAE_spp	Protein of unknown function DUF268, Caenorhabditis species
IPR004954	Mucin-bd	Putative mucin/carbohydrate-binding domain
IPR004955	Baculovirus_Gp64	Baculovirus Gp64, envelope glycoprotein
IPR004960	LipA_acyltrans	Bacterial lipid A biosynthesis acyltransferase
IPR004964	PhzA_PhzB	Phenazine biosynthesis protein A/B
IPR004968	DNA_primase/NTPase_C	DNA primase/nucleoside triphosphatase, C-terminal
IPR004970	Peptidase_C57	Peptidase C57, Vaccinia virus protein I7
IPR004979	TF_AP2	Transcription factor AP-2
IPR004981	Trp_2_3_dOase	Tryptophan 2,3-dioxygenase
IPR004982	WTF	WTF family
IPR004986	Caulimo_virion-assoc	Caulimovirus virion-associated protein
IPR004987	DUF272	Protein of unknown function DUF272
IPR004988	DUF273	Protein of unknown function DUF273
IPR004990	ELF	ELF protein
IPR004991	Aerolysin-like	Aerolysin-like toxin
IPR004992	EutN_CcmL	Ethanolamine utilization protein EutN/carboxysome structural protein CcmL
IPR004993	GH3	GH3 family
IPR004995	Spore_Ger	Bacillus/Clostridium Ger spore germination protein
IPR005000	Aldolase/citrate-lyase_domain	HpcH/HpaI aldolase/citrate lyase domain
IPR005001	Hfq	RNA-binding protein Hfq
IPR005003	Phage_lambda_Stf-r1	Bacteriophage lambda, Stf, side tail fibre-repeat-1
IPR005004	Poxvirus_C4/C10	Poxvirus C4/C10
IPR005017	OMPP1/FadL/TodX	Outer membrane protein transport protein (OMPP1/FadL/TodX)
IPR005019	Adenine_glyco	Methyladenine glycosylase
IPR005020	LIN-8	Protein LIN-8
IPR005021	Terminase_largesu_Lambdalike	Terminase large subunit, Lambdalikevirus-type
IPR005025	FMN_Rdtase-like	NADPH-dependent FMN reductase-like
IPR005026	SAPAP	SAPAP family
IPR005027	Glyco_trans_43	Glycosyl transferase, family 43
IPR005036	CBM21_dom	CBM21 (carbohydrate binding type-21) domain
IPR005038	Octapeptide	Octapeptide repeat
IPR005039	Ant_C	Antirepressor protein, C-terminal
IPR005044	DUF282_CAE_spp	Protein of unknown function DUF282, Caenorhabditis species
IPR005046	DUF285	Protein of unknown function DUF285
IPR005047	7TM_GPCR_serpentine_rcpt_Srxa	7TM GPCR, serpentine receptor class xa (Srxa)
IPR005048	DUF287	Domain of unknown function DUF287
IPR005049	STL-like	STELLO-like
IPR005050	Enod93	Early nodulin 93 ENOD93 protein
IPR005052	Lectin_leg	Legume-like lectin
IPR005053	MobA_MobL	MobA/MobL protein
IPR005055	A10/PebIII	Insect odorant-binding protein A10/Ejaculatory bulb-specific protein 3
IPR005063	Transposase_27	Transposase, IS1
IPR005064	BUG	Bordetella uptake gene
IPR005066	MoCF_OxRdtse_dimer	Moybdenum cofactor oxidoreductase, dimerisation
IPR005067	Fatty_acid_desaturase-2	Fatty acid desaturase, type 2
IPR005068	Phage_lambda_Stf-r2	Bacteriophage lambda, Stf, side tail fibre-repeat-2
IPR005069	Nucl-diP-sugar_transferase	Nucleotide-diphospho-sugar transferase
IPR005071	Glycoprotein	Transmembrane glycoprotein
IPR005073	Peptidase_M74	Peptidase M74, penicillin-insensitive murein endopeptidase
IPR005074	Peptidase_C39	Peptidase C39, bacteriocin processing
IPR005076	Glyco_trans_6	Glycosyl transferase, family 6
IPR005077	Peptidase_C11	Peptidase C11, clostripain
IPR005079	Peptidase_C45	Peptidase C45
IPR005081	SpoIIGA	Sigma-E processing peptidase SpoIIGA
IPR005082	Peptidase_U9_T4_prohead	Peptidase U9, T4 prohead protease
IPR005083	Ser/Thr_AcTrfase	Serine/Threonine acetyltransferase, YopJ
IPR005084	CMB_fam6	Carbohydrate binding module family 6
IPR005085	CBM25	Carbohydrate binding module family 25
IPR005087	CBM_fam11	Carbohydrate binding module family 11
IPR005089	CBM_fam19	Carbohydrate-binding module family 19
IPR005090	Rep_C	Replication protein C
IPR005094	Endonuclease_MobA/VirD2	Endonuclease relaxase, MobA/VirD2
IPR005098	DUF281	Domain of unknown function DUF281
IPR005102	Carbo-bd_X2	Carbohydrate binding  X2 domain
IPR005103	Glyco_hydro_61	Glycoside hydrolase, family 61
IPR005104	WHTH_HrcA_DNA-bd	Winged helix-turn-helix transcription repressor, HrcA DNA-binding domain
IPR005105	GlnD_Uridyltrans_N	Protein-PII uridylyltransferase, N-terminal
IPR005106	Asp/hSer_DH_NAD-bd	Aspartate/homoserine dehydrogenase, NAD-binding
IPR005107	CO_DH_flav_C	CO dehydrogenase flavoprotein, C-terminal
IPR005110	MoeA_linker/N	MoeA, N-terminal and linker domain
IPR005111	MoeA_C_domain_IV	MoeA, C-terminal, domain IV
IPR005114	Helicase_assoc	Helicase-associated
IPR005115	UPF0126	Uncharacterised domain UPF0126
IPR005116	Transp-assoc_OB_typ1	Transport-associated OB, type 1
IPR005117	NiRdtase/SiRdtase_haem-b_fer	Nitrite/Sulfite reductase ferredoxin-like domain
IPR005118	TRCF_C	Transcription-repair-coupling factor, C-terminal domain
IPR005119	LysR_subst-bd	LysR, substrate-binding
IPR005126	NapC/NirT_cyt_c_N	NapC/NirT cytochrome c, N-terminal
IPR005128	Acetolactate_a_deCO2ase	Alpha-acetolactate decarboxylase
IPR005129	GTPase_ArgK	SIMIBI class G3E GTPase, ArgK/MeaB
IPR005130	Ser_deHydtase-like_asu	Serine dehydratase-like, alpha subunit
IPR005131	Ser_deHydtase_bsu	Serine dehydratase beta chain
IPR005133	PhaG_MnhG_YufB	Na+/H+ antiporter subunit G
IPR005134	UPF0114	Uncharacterised protein family UPF0114
IPR005137	BtpA	Membrane complex biogenesis protein, BtpA family
IPR005143	TF_LuxR_autoind-bd_dom	Transcription factor LuxR-like, autoinducer-binding domain
IPR005148	Arg-tRNA-synth_N	Arginyl tRNA synthetase N-terminal domain
IPR005149	Tscrpt_reg_PadR_N	Transcription regulator PadR, N-terminal
IPR005150	Cellulose_synth	Cellulose synthase
IPR005151	Tail-specific_protease	Tail specific protease
IPR005152	Lipase_secreted	Lipase, secreted
IPR005154	Glyco_hydro_67_aGlcAse_N	Alpha glucuronidase, N-terminal
IPR005158	BTAD	Bacterial transcriptional activator domain
IPR005159	WCCH	WCCH motif
IPR005162	Retrotrans_gag_dom	Retrotransposon gag domain
IPR005163	3-alpha_domain	3-alpha domain
IPR005164	Allantoicase	Allantoicase
IPR005165	Anthrax_toxin_edema_cen	Anthrax toxin, edema factor, central
IPR005170	Transptr-assoc_dom	Transporter-associated domain
IPR005171	Cyt_c_oxidase_su4_prok	Cytochrome C oxidase subunit IV, prokaryotes
IPR005173	DMA	DMRTA motif
IPR005174	DUF295	Domain unknown function DUF295
IPR005177	Kinase-pyrophosphorylase	Bifunctional kinase-pyrophosphorylase
IPR005180	DUF302	Domain of unknown function DUF302
IPR005181	SASA	Sialate O-acetylesterase domain
IPR005182	DUF304	Domain of unknown function DUF304
IPR005183	DUF305	Domain of unknown function DUF305
IPR005184	DUF306_Meta_HslJ	Domain of unknown function DUF306, Meta/HslJ
IPR005185	YccF	Inner membrane component domain
IPR005186	FlaG	FlaG protein
IPR005189	Focal_adhesion_kin_target_dom	Focal adhesion kinase, targeting (FAT) domain
IPR005190	GlnE_rpt_dom	Glutamate-ammonia ligase adenylyltransferase, repeated domain
IPR005192	Glyco_hydro_49_C	Glycoside hydrolase, family 49, C-terminal
IPR005193	GH62_arabinosidase	Glycoside hydrolase, family 62, arabinosidase
IPR005194	Glyco_hydro_65_C	Glycoside hydrolase family 65, C-terminal
IPR005195	Glyco_hydro_65_M	Glycoside hydrolase, family 65, central catalytic
IPR005196	Glyco_hydro_65_N	Glycoside hydrolase, family 65, N-terminal
IPR005197	Glyco_hydro_71	Glycoside hydrolase family 71
IPR005199	Glyco_hydro_79	Glycoside hydrolase, family 79
IPR005200	Endo-beta-glucanase	Endo-1,3(4)-beta-glucanase
IPR005202	TF_GRAS	Transcription factor GRAS
IPR005203	Hemocyanin_C	Hemocyanin, C-terminal
IPR005204	Hemocyanin_N	Hemocyanin, N-terminal
IPR005210	Herpes_LT_deneddylase	Herpesvirus large tegument protein deneddylase
IPR005211	Herpes_glycoprotein_N_domain	Herpesvirus envelope glycoprotein N domain
IPR005213	HGWP_repeat	HGWP repeat
IPR005215	Trig_fac	Trigger factor
IPR005216	Citrate_lyase_ligase	Citrate lyase ligase
IPR005217	FTR1-like	Iron permease FTR1-like
IPR005218	Diacylglycerol/lipid_kinase	Diacylglycerol/lipid kinase
IPR005219	PqiA-like_Ent	Intermembrane transport protein PqiA-like, Enterobacteria-type
IPR005220	BOF	Bacterial OB-fold
IPR005224	SfsA	Sugar fermentation stimulation protein
IPR005226	UPF0014_fam	UPF0014 family
IPR005227	YqgF	Putative pre-16S rRNA nuclease
IPR005228	CHP00251	Conserved hypothetical protein CHP00251
IPR005229	CHP00255	Conserved hypothetical protein CHP00255
IPR005232	LarE	Pyridinium-3,5-bisthiocarboxylic acid mononucleotide synthase LarE
IPR005234	ScpB_csome_segregation	Chromosome segregation/condensation protein ScpB
IPR005235	YmdB-like	Metallophosphoesterase, YmdB-like
IPR005238	ComB-like	ComB-like
IPR005240	DUF389	Protein of unknown function DUF389
IPR005247	YbhB_YbcL	YbhB/YbcL
IPR005249	CHP00488	Conserved hypothetical protein CHP00488
IPR005252	CoaBC	Coenzyme A biosynthesis bifunctional protein CoaBC
IPR005254	Heme_biosyn_assoc_TPR_pro	Heme biosynthesis-associated TPR protein
IPR005255	PdxA_fam	PdxA family
IPR005256	Anth_synth_I_PabB	Anthranilate synthase component I, PabB-like
IPR005257	Anth_synth_I_TrpE	Anthranilate synthase component I, TrpE-like, bacterial
IPR005259	PriA	Primosomal protein N'
IPR005260	Asp_kin_monofn	Aspartate kinase, monofunctional class
IPR005261	CHP00659	Conserved hypothetical protein CHP00659
IPR005262	CHP00661	Conserved hypothetical protein CHP00661
IPR005263	DapA	4-hydroxy-tetrahydrodipicolinate synthase, DapA
IPR005265	HemJ-like	Protoporphyrinogen oxidase HemJ-like
IPR005267	G3P_transporter	Glycerol-3-phosphate transporter
IPR005268	CHP00725	Conserved hypothetical protein CHP00725
IPR005269	LOG	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG
IPR005271	CmoA	Carboxy-S-adenosyl-L-methionine synthase
IPR005272	CHP00743	Conserved hypothetical protein CHP00743
IPR005273	Ura-DNA_glyco_family4	Uracil-DNA glycosylase family 4
IPR005274	IM_pro_YhjD	Inner membrane protein YhjD
IPR005275	Lfuc_symporter_FucP	L-fucose-proton symporter FucP
IPR005279	Dipep/tripep_permease	Dipeptide/tripeptide permease
IPR005280	Homoserine_kinase_II	Homoserine kinase, type II
IPR005283	FA_transporter	Peroxysomal long chain fatty acyl transporter
IPR005284	Pigment_permease/Abcg	Pigment precursor permease/Protein ATP-binding cassette sub-family G
IPR005285	Drug-R_PDR/CDR	Pleiotropic drug resistance protein PDR/CDR
IPR005286	Cell_div_FtsE_ATP-bd	Cell division protein  FtsE, ATP-binding
IPR005288	NadB	L-aspartate oxidase
IPR005292	Multidrug-R_assoc	Multi drug resistance-associated protein
IPR005297	Lipoprotein_repeat	Lipoprotein repeat
IPR005299	MeTrfase_7	SAM dependent carboxyl methyltransferase
IPR005300	MltA_B	Lytic transglycosylase MltA, domain B
IPR005302	MoCF_Sase_C	Molybdenum cofactor sulfurase, C-terminal
IPR005303	MOSC_N	MOSC, N-terminal beta barrel
IPR005308	OKR_de-COase_N	Orn/Lys/Arg decarboxylase, N-terminal
IPR005311	PBP_dimer	Penicillin-binding protein, dimerisation domain
IPR005312	DUF1759	Protein of unknown function DUF1759
